Location,Data,Goal,Coordinates,Title,Category,Data category
Belize,Landsat data,Mapping land-use and land-cover change,"17.25124, -88.40548","Tropical Forest and Wetland Losses and the Role of Protected Areas in Northwestern Belize, Revealed from Landsat and Machine Learning",Forest cover assessment,Satellite imagery or LiDAR
"Al-Ahsa, Saudi Arabia",High-resolution satellite imagery,Detecting date palm trees,"25.41206, 49.58956",A HYBRID PIPELINE FOR DATE PALM TREE DETECTION IN HIGH-RESOLUTION SATELLITE IMAGERY,Tree species classification,Satellite imagery or LiDAR
Southeastern US,Remote sensing data,Mapping canopy height,"34.00071, -80.00000",A Comparison of Machine Learning and Geostatistical Approaches for Mapping Forest Canopy Height over the Southeastern US Using ICESat-2,Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,High-resolution remote sensing images,Assessing urban tree canopy cover,"-14.235004, -51.92528",Assessing the macro-scale patterns of urban tree canopy cover in Brazil using high-resolution remote sensing images,Canopy and biomass estimation,Satellite imagery or LiDAR
Northeast China,Digital aerial photograph,Estimating forest aboveground biomass and leaf area index,"43.123456, 123.456789",Estimation of Forest Aboveground Biomass and Leaf Area Index Based on Digital Aerial Photograph Data in Northeast China,Canopy and biomass estimation,Drone imagery
Not specified,Multi-seasonal UAV images and LiDAR data,Mapping vertical forest structures,Not specified,Forest Vertical Structure Mapping Using Multi-Seasonal UAV Images and Lidar Data via Modified U-Net Approaches,Canopy and biomass estimation,Drone imagery
Chile,Satellite imagery,Crop type classification,"-34.10024, -70.62429",Classifying fruit-tree crops by Landsat-8 time series,Tree species classification,Satellite imagery
Not specified,Multi-source remote sensing data,Tree species classification,Not specified,DBMF: A Novel Method for Tree Species Fusion Classification Based on Multi-Source Images,Tree species classification,Satellite imagery or LiDAR
"Lower Saxony, Germany",Aerial and Sentinel-1/Sentinel-2 imagery,Tree species classification,"52.5218, 9.8153","TreeSatAI Benchmark Archive: a multi-sensor, multi-label dataset for tree species classification in remote sensing",Tree species classification,Satellite imagery or LiDAR
Not specified,Airborne laser scanning data,Individual tree matching,Not specified,"A Machine Learning Method for Co-Registration and Individual Tree Matching of Forest Inventory and Airborne Laser Scanning Data (vol 9, pg 505, 2017)",Tree species classification,LiDAR
"Baden-Wurttemberg, Germany",Airborne LiDAR,Tree species classification,"48.7489, 8.6624",Deeply supervised network for airborne LiDAR tree classification incorporating dual attention mechanisms,Tree species classification,Satellite imagery or LiDAR
Austria,Vegetation resurvey and soil data,Predicting understorey community responses to global change,"47.51623, 14.55006",Predicting trajectories of temperate forest understorey vegetation responses to global change,Habitat degradation and biodiversity monitoring,Animal or plant data
Not specified,Airborne laser scanning data,Estimating species-specific stand attributes and uncertainty quantification,Not specified,Gaussian Process Regression for Forest Attribute Estimation From Airborne Laser Scanning Data,Tree species classification,LiDAR
New York City,LiDAR data,Monitoring urban forests,"40.5795, -73.9814",MONITORING URBAN FORESTS FROM AUTO-GENERATED SEGMENTATION MAPS,Forest cover assessment,Satellite imagery or LiDAR
Boreal forest,Multisensor satellite data,Mapping forest tree height,"65.0, 25.0",A Novel Semisupervised Contrastive Regression Framework for Forest Inventory Mapping With Multisensor Satellite Data,Canopy and biomass estimation,Satellite imagery or LiDAR
South Korea,Sentinel-2A images,Mapping urban forests,"35.9078, 127.7669",Developing a mapping procedure for urban forests using online map services and Sentinel-2A images,Forest cover assessment,Satellite imagery or LiDAR
Denmark,Airborne LiDAR,Estimating above-ground biomass,"56.26392, 9.501785",Deep point cloud regression for above-ground forest biomass estimation from airborne LiDAR,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,"Satellite imagery, LiDAR data",Mapping urban tree cover changes,"0.000000, 0.000000",Mapping Urban Tree Cover Changes Using Object-Based Convolution Neural Network (OB-CNN),Forest cover assessment,Satellite imagery or LiDAR
Not specified,Satellite imagery,Estimating above ground biomass (AGB),Not specified,EFFECTS OF KNN NEIGHBOR'S DENSITY AND DISTANCE ON FOREST-STAND-LEVEL AGB ESTIMATION,Canopy and biomass estimation,Satellite imagery
South China,UAV remote sensing data,Detecting individual fruit trees,"23.1481, 116.3559",Detecting and Mapping Individual Fruit Trees in Complex Natural Environments via UAV Remote Sensing and Optimized YOLOv5,Tree species classification,Drone imagery
Spain,Multispectral images,Forest classification,"42.60265, -8.64629",ResBaGAN: A Residual Balancing GAN with Data Augmentation for Forest Mapping,Forest cover assessment,Satellite imagery or LiDAR
China,UAV-based hyperspectral imagery and LiDAR data,Monitoring pine wilt disease infection stages,"35.86166, 104.1954",A machine learning algorithm to detect pine wilt disease using UAV-based hyperspectral imagery and LiDAR data at the tree level,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"University of Tokyo Chiba Forest, Japan",Aerial photographs,Forest type classification,"35.6938, 140.1023",Application of a Novel Multiscale Global Graph Convolutional Neural Network to Improve the Accuracy of Forest Type Classification Using Aerial Photographs,Tree species classification,Ground-level photographs
Not specified,UAS RGB images,Detecting tree health decline caused by Ips typographus,Not specified,Estimating Tree Health Decline Caused by Ips typographus L. from UAS RGB Images Using a Deep One-Stage Object Detection Neural Network,Habitat degradation and biodiversity monitoring,Drone imagery
South America, Satellite imagery, Quantifying impacts of urbanization on urban tree canopy coverage," -14.2401, -53.1805",High-resolution satellite images reveal the prevalent positive indirect impact of urbanization on urban tree canopy coverage in South America,Canopy and biomass estimation,Satellite imagery
Southwest China,Sentinel-1 and Sentinel-2,Mapping tree species distribution,"26.12345, 102.12345",Synergism of Multi-Modal Data for Mapping Tree Species Distribution-A Case Study from a Mountainous Forest in Southwest China,Tree species classification,Satellite imagery or LiDAR
Not specified,Mobile laser scanning data,Individual tree segmentation,"31.2304, 121.4737",Road-Side Individual Tree Segmentation from Urban MLS Point Clouds Using Metric Learning,Tree species classification,LiDAR
"Pasadena, California, USA",Publicly available aerial and street view images,Automated street tree detection and species recognition,"34.147785, -118.144515",From Google Maps to a fine-grained catalog of street trees,Tree species classification,Ground-level photographs
Japan,Airborne LiDAR,Estimating height growth of Cryptomeria japonica,"35.6895, 139.6917","Assessing the regional-scale distribution of height growth of Cryptomeria japonica stands using airborne LiDAR, forest GIS database and machine learning",Canopy and biomass estimation,Satellite imagery or LiDAR
South-Eastern Spain,Landsat time-series data,Defoliation mapping,"37.5, -0.6",Integration of a Landsat Time-Series of NBR and Hydrological Modeling to Assess Pinus pinaster Aiton. Forest Defoliation in South-Eastern Spain,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Cartagena del Chaira,Remote sensing data,Assessing wildfire triggers and proposing mitigation strategies,"1.1348, -75.1293","Climate Change, Forest Fires, and Territorial Dynamics in the Amazon Rainforest: An Integrated Analysis for Mitigation Strategies",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Brazil,Data from felled trees,Predicting wood volume of forest species,"-3.33298, -54.77463",Use of artificial neural networks for predicting volume of forest species in the Amazon Forest,Tree species classification,Animal or plant data
Canada,Landsat imagery,Mapping tree species distribution,"56.1304, -106.3468",Mapping the presence and distribution of tree species in Canada?s forested ecosystems,Tree species classification,Satellite imagery or LiDAR
"Haute-Garonne, France",Satellite images,Mapping forest land cover,"43.60465, 1.41512",Positive Unlabelled Learning for Satellite Images'Time Series Analysis: An Application to Cereal and Forest Mapping,Forest cover assessment,Satellite imagery
Not specified,LiDAR Point Clouds,Biomass assessment,Not specified,WOOD-LEAF UNSUPERVISED CLASSIFICATION OF SILVER BIRCH TREES FOR BIOMASS ASSESSMENT USING OBLIQUE POINT CLOUDS,Canopy and biomass estimation,Satellite imagery or LiDAR
Switzerland,Remote sensing data,Understanding natural disturbance susceptibility,"46.65656, 9.53222",The impact of land-use legacies and recent management on natural disturbance susceptibility in mountain forests,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Australia,Remote sensing data,Generate fire susceptibility maps,"-25.274398, 133.775136",Habitat in flames: How climate change will affect fire risk across koala forests,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Airborne laser scanning (ALS) point clouds,Tree species classification,Not specified,A Convex Hull-Based Feature Descriptor for Learning Tree Species Classification From ALS Point Clouds,Tree species classification,LiDAR
Not specified,RGB and point cloud data,Estimating trunk diameter of grafted apple trees,Not specified,Remote estimation of grafted apple tree trunk diameter in modern orchard with RGB and point cloud based on SOLOv2,Tree species classification,Satellite imagery or LiDAR
United Arab Emirates,Very high-resolution satellite data,Mapping individual date palm trees,"25.276987, 55.296249",Spectral-Spatial transformer-based semantic segmentation for large-scale mapping of individual date palm trees using very high-resolution satellite data,Tree species classification,Satellite imagery or LiDAR
Northern Morocco,Satellite imagery,Predicting forest fire risks,"34.020882, -5.879012",Smart Prediction System for Territorial Resilience at the Large-Scale Level. Case Study of the Seasonal Forest Fires Risk in Northern Morocco,Forest fire monitoring and prevention,Satellite imagery
Northeast China,Hyperspectral imagery,Early detection of Dendroctonus valens infestation,"41.80785, 123.43279",Early Detection of Dendroctonus valens Infestation at Tree Level with a Hyperspectral UAV Image,Habitat degradation and biodiversity monitoring,Drone imagery
North China,Remote sensing data,Detecting tree mortality,"40.00000, 116.00000",Combining GF-2 and Sentinel-2 Images to Detect Tree Mortality Caused by Red Turpentine Beetle during the Early Outbreak Stage in North China,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
China,Remote sensing,Generating fine-scale urban tree cover product,"35.86166, 104.195397",Generating 2m fine-scale urban tree cover product over 34 metropolises in China based on deep context-aware sub-pixel mapping network,Forest cover assessment,Satellite imagery or LiDAR
Hong Kong,Tree survey data,Improving urban forest monitoring,"22.396428, 114.109497",Streamlining urban forest monitoring based on a large-scale tree survey: a case study of highway vegetation in Hong Kong,Tree species classification,Animal or plant data
China,Active and passive remote sensing,Tree species classification,"48.399689, 120.650965",Application of Machine Learning to Tree Species Classification Using Active and Passive Remote Sensing: A Case Study of the Duraer Forestry Zone,Tree species classification,Satellite imagery or LiDAR
"Tibet, China",Remote sensing data,Estimating forest biomass,"30.000000, 90.000000","Toward a More Robust Estimation of Forest Biomass Carbon Stock and Carbon Sink in Mountainous Region: A Case Study in Tibet, China",Canopy and biomass estimation,Satellite imagery or LiDAR
Southern California,Multispectral imagery,Automating urban forest inventory,"34.0522, -118.2437",Individual tree detection in large-scale urban environments using high-resolution multispectral imagery,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite imagery,Early wildfire detection,Not specified,An Optimized Smoke Segmentation Method for Forest and Grassland Fire Based on the UNet Framework,Forest fire monitoring and prevention,Satellite imagery
Not specified,Airborne LiDAR and Satellite Optical and SAR Data,Mapping forest above-ground biomass,Not specified,Stacked Sparse Autoencoder Modeling Using the Synergy of Airborne LiDAR and Satellite Optical and SAR Data to Map Forest Above-Ground Biomass,Canopy and biomass estimation,Satellite imagery or LiDAR
"Helong City, Jilin Province",Remote sensing data,Tree species classification,"42.50000, 126.00000",Tree Species Classification over Cloudy Mountainous Regions by Spatiotemporal Fusion and Ensemble Classifier,Tree species classification,Satellite imagery or LiDAR
Northern Spain,Remote sensing data,Estimating forest variables,"43.13339, -7.63240",Estimating Forest Variables for Major Commercial Timber Plantations in Northern Spain Using Sentinel-2 and Ancillary Data,Canopy and biomass estimation,Satellite imagery or LiDAR
China,Satellite imagery,Mapping forest cover and land use,"27.00000, 113.00000",Mapping Vegetation and Land Use Types in Fanjingshan National Nature Reserve Using Google Earth Engine,Forest cover assessment,Satellite imagery
China,Terrestrial laser scanning data,Extracting tree feature parameters,"35.86166, 104.19540",A Method for Extracting the Tree Feature Parameters of Populus tomentosa in the Leafy Stage,Tree species classification,LiDAR
China,Satellite-based aboveground biomass and net primary productivity data,Estimating biomass turnover time,"35.86166, 104.195397",Forest biomass turnover time estimation in China based on spatially explicit root : shoot ratios,Canopy and biomass estimation,Satellite imagery or LiDAR
Malaysia,Images of leaf venation networks,Morphological characterization of tree species,"5.37128, 101.97576",Leaf venation networks of Bornean trees: images and hand-traced segmentations,Tree species classification,Ground-level photographs
Vietnam,Remote sensing data,Estimating drivers of forest changes,"14.058324, 108.277199",Dynamics and Determinants of Forest Changes Across Mainland Vietnam in the Recent Three Decades,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV imagery,Individual tree segmentation,"23.1394, 113.3616",CEDAnet: Individual Tree Segmentation in Dense Orchard via Context Enhancement and Density Prior,Tree species classification,Drone imagery
Brazil,Landsat-8 and Sentinel-2 images,Monitoring deforestation,"-3.4653, -62.2159",Deforestation Detection with Fully Convolutional Networks in the Amazon Forest from Landsat-8 and Sentinel-2 Images,Forest cover assessment,Satellite imagery or LiDAR
Japan,Google Earth imagery,Vegetation mapping,"36.204824, 138.252924",Identifying the vegetation type in Google Earth images using a convolutional neural network: a case study for Japanese bamboo forests,Tree species classification,Satellite imagery or LiDAR
New York's Central Park,Google Earth images,Mapping tree crown cover,"40.785091, -73.968285",Detecting and mapping tree crowns based on convolutional neural network and Google Earth images,Canopy and biomass estimation,Satellite imagery or LiDAR
China,UAV imagery,Tracking and counting,"35.86166, 104.1954",Exploring the potential of visual tracking and counting for trees infected with pine wilt disease based on improved YOLOv5 and StrongSORT algorithm,Tree species classification,Drone imagery
Ordway Swisher Biological Station,Airborne imagery,Tree species classification,"29.50000, -81.50000",Capturing long-tailed individual tree diversity using an airborne imaging and a multi-temporal hierarchical model,Tree species classification,Drone imagery
Amazon and Brazilian Cerrado,Remote sensing data,Deforestation detection,"-3.4653, -62.2159",Domain-Adversarial Neural Networks for Deforestation Detection in Tropical Forests,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Digital camera,Tree measurement,Not specified,A handheld device for measuring the diameter at breast height of individual trees using laser ranging and deep-learning based image recognition,Tree species classification,Ground-level photographs
Finland,Hyperspectral and LiDAR data,Tree species classification,"61.92411, 25.74815",Tree species classification from airborne hyperspectral and LiDAR data using 3D convolutional neural networks,Tree species classification,Satellite imagery or LiDAR
Spain,Landsat time series,Assessing vegetation recovery,"40.42677, -3.70379",Assessing vegetation recovery in reclaimed opencast mines of the Teruel coalfield (Spain) using Landsat time series and boosted regression trees,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Jasper National Park, Canada",Terrestrial laser scanning,Characterizing 3D fuel distribution,"52.8734, -118.0802",Delineating and Reconstructing 3D Forest Fuel Components and Volumes with Terrestrial Laser Scanning,Canopy and biomass estimation,LiDAR
Panama,UAV images,Monitoring leaf phenology,"8.98238, -79.51987",Quantifying Leaf Phenology of Individual Trees and Species in a Tropical Forest Using Unmanned Aerial Vehicle (UAV) Images,Canopy and biomass estimation,Drone imagery
Lope forest site,L-band PolInSAR data,Estimating forest height,"0.34485, 9.46083",Forest Height Inversion by Convolutional Neural Networks Based on L-Band PolInSAR Data Without Prior Knowledge Dependency,Canopy and biomass estimation,Sensor data
"Shanghai, China",High-resolution imagery and Canopy Height Model data,Individual tree detection and counting,"31.2304, 121.4737",Individual tree detection and counting based on high-resolution imagery and the canopy height model data,Tree species classification,Satellite imagery or LiDAR
Not specified,UAV multispectral imagery,Citrus tree counting,Not specified,A convolutional neural network approach for counting and geolocating citrus-trees in UAV multispectral imagery,Tree species classification,Drone imagery
KwaZulu-Natal,Remote sensing data,Classifying drought-damaged trees,"-29.59025, 30.37743",Localizing the analysis of drought impacts on KwaZulu-Natal?s commercial forests,Tree species classification,Satellite imagery or LiDAR
Central Finland,Sentinel-2 imagery,Estimating forest structural variables,"62.24166, 25.74816",Deep Neural Networks with Transfer Learning for Forest Variable Estimation Using Sentinel-2 Imagery in Boreal Forest,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Passive acoustic monitoring,Biodiversity monitoring,Not specified,Integrating new technologies to broaden the scope of northern spotted owl monitoring and linkage with USDA forest inventory data,Habitat degradation and biodiversity monitoring,Sensor data
"Calabria, Italy",Remote sensing data,Classifying Mediterranean forest habitats,"38.8808, 16.5942",Machine Learning Classification of Mediterranean Forest Habitats in Google Earth Engine Based on Seasonal Sentinel-2 Time-Series and Input Image Composition Optimisation,Tree species classification,Satellite imagery or LiDAR
"Uttarakhand, India",Satellite imagery,Mapping forest fire burn areas,"30.3165, 78.0322","Landsat-8 and Sentinel-2 based Forest fire burn area mapping using machine learning algorithms on GEE cloud platform over Uttarakhand, Western Himalaya",Forest fire monitoring and prevention,Satellite imagery
Not specified,Sentinel-2 imagery,Estimating biomass,Not specified,Mapping aboveground biomass of Moso bamboo (Phyllostachys pubescens) forests under Pantana phyllostachysae Chao-induced stress using Sentinel-2 imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
Northern Hemisphere,Tree-ring width index,Investigating tree growth responses to autumn climate change,"40.7128, -74.0060","Geographical, Climatological, and Biological Characteristics of Tree Radial Growth Response to Autumn Climate Change",Tree species classification,Animal or plant data
"Victoria, Australia",Remote sensing data,Estimating aboveground forest biomass,"[-37.4713, 144.7858]",THE POTENTIAL OF SENTINEL SATELLITES FOR LARGE AREA ABOVEGROUND FOREST BIOMASS MAPPING,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing imagery,Estimating aboveground biomass,Not specified,Comparative Analysis of Modeling Algorithms for Forest Aboveground Biomass Estimation in a Subtropical Region,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV imagery,Detecting trees suffering from pine wilt disease,Not specified,An improved YOLO model for detecting trees suffering from pine wilt disease at different stages of infection,Tree species classification,Drone imagery
Not specified,High-resolution remotely sensed imagery,Accurate extraction of urban forests,Not specified,Intelligent Mapping of Urban Forests from High-Resolution Remotely Sensed Imagery Using Object-Based U-Net-DenseNet-Coupled Network,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Mobile laser scanning point clouds,Individual tree extraction,Not specified,Individual tree extraction from urban mobile laser scanning point clouds using deep pointwise direction embedding,Tree species classification,LiDAR
California,Aerial images and LiDAR data,Mapping tree canopy height,"36.77826, -119.41793",Sub-meter tree height mapping of California using aerial images and LiDAR-informed U-Net model,Canopy and biomass estimation,Satellite imagery or LiDAR
Japan,Remote sensing data,Estimating plot-level stem volume,"36.20482, 138.25293",Integration of Multi-Sensor Data to Estimate Plot-Level Stem Volume Using Machine Learning Algorithms-Case Study of Evergreen Conifer Planted Forests in Japan,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV remote sensing images,Detection and classification of diseased pine trees,Not specified,Detection and classification of diseased pine trees with different levels of severity from UAV remote sensing images,Tree species classification,Drone imagery
"Xiong County, China",RPA remote sensing imagery,Canopy area measurement,"38.4792, 115.1069",Att-Mask R-CNN: an individual tree crown instance segmentation method based on fused attention mechanism,Canopy and biomass estimation,Satellite imagery or LiDAR
Loess Plateau,Multi-source remote sensing data,Forest type classification,"35.0000, 107.0000","Improved Identification of Forest Types in the Loess Plateau Using Multi-Source Remote Sensing Data, Transfer Learning, and Neural Residual Networks",Tree species classification,Satellite imagery or LiDAR
Not specified,UAV images,Forest fire smoke detection,Not specified,LMDFS: A Lightweight Model for Detecting Forest Fire Smoke in UAV Images Based on YOLOv7,Forest fire monitoring and prevention,Drone imagery
Spain,Satellite imagery,Fire severity mapping,"41.04829, -0.34279",Unitemporal approach to fire severity mapping using multispectral synthetic databases and Random Forests,Forest fire monitoring and prevention,Satellite imagery
Not specified,Airborne remote sensing imagery,Detecting standing dead trees,Not specified,Automatic detection of standing dead trees based on improved YOLOv7 from airborne remote sensing imagery,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite images,Oil palm tree detection,"1.3521, 103.8198",Cross-regional oil palm tree counting and detection via a multi-level attention domain adaptation network,Tree species classification,Satellite imagery
Finland,Hyperspectral and multispectral remote sensing data,Estimating forest biomass and structure variables,"61.92411, 25.74815",Utility of hyperspectral compared to multispectral remote sensing data in estimating forest biomass and structure variables in Finnish boreal forest,Canopy and biomass estimation,Satellite imagery or LiDAR
French Polynesia,High-resolution satellite images,Detecting individual coconut trees,"-17.6797, -149.4068",Surveying coconut trees using high-resolution satellite imagery in remote atolls of the Pacific Ocean,Tree species classification,Satellite imagery or LiDAR
Southeastern Australia,Remote sensing data,Quantifying the influence of Acacia and Eucalyptus density on plant community composition,"-37.8136, 144.9631",Canopy Composition and Spatial Configuration Influences Beta Diversity in Temperate Regrowth Forests of Southeastern Australia,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"California, USA",Street-level images,Updating tree inventories with geographic coordinates,"36.7783, -119.4179",Geocoding of trees from street addresses and street-level images,Tree species classification,Ground-level photographs
"West Virginia, USA",NAIP orthophotography,Land cover mapping,"38.597626, -80.454903","Large-Area, High Spatial Resolution Land Cover Mapping Using Random Forests, GEOBIA, and NAIP Orthophotography: Findings and Recommendations",Forest cover assessment,Drone imagery
Northern Italian Alps,Remote sensing data,Estimating biodiversity patterns,"45.83931, 10.49775",LiDAR GEDI derived tree canopy height heterogeneity reveals patterns of biodiversity in forest ecosystems,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Point cloud data,Estimating canopy volume,Not specified,Tree Canopy Volume Extraction Fusing ALS and TLS Based on Improved PointNeXt,Canopy and biomass estimation,Satellite imagery or LiDAR
"Gangwon-do, South Korea",RapidEye satellite imageries,Tree species classification,"37.875193, 128.273184",A Study on Pre-evaluation of Tree Species Classification Possibility of CAS500-4 Using RapidEye Satellite Imageries,Tree species classification,Satellite imagery or LiDAR
Northeastern China,Landsat time-series data,Quantifying forest fire and post-fire vegetation recovery,"50.4000, 120.0000",Quantifying Forest Fire and Post-Fire Vegetation Recovery in the Daxin'anling Area of Northeastern China Using Landsat Time-Series Data and Machine Learning,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Eastern India,Remote sensing data,Estimating total blue carbon stock,"20.593684, 78.962880","Coupling multi-sensory earth observation datasets, in-situ measurements, and machine learning algorithms for total blue C stock estimation of an estuarine mangrove forest",Canopy and biomass estimation,Satellite imagery or LiDAR
USA,Forest Inventory and Analysis data,Projecting basal area of black walnut under climate change,"37.09024, -95.71289",Spatiotemporal trends of black walnut forest stocking under climate change,Forest cover assessment,Animal or plant data
Tanzania,Remote sensing data,Mapping closed canopy evergreen natural forest,"-6.369028, 34.888822",Mapping Natural Forest Remnants with Multi-Source and Multi-Temporal Remote Sensing Data for More Informed Management of Global Biodiversity Hotspots,Forest cover assessment,Satellite imagery or LiDAR
China,Satellite imagery,Mapping distribution of chestnut forests,"40.32858, 116.63029",A Method of Chestnut Forest Identification Based on Time Series and Key Phenology from Sentinel-2,Tree species classification,Satellite imagery
Not specified,UAV RGB imagery,Estimating pistachio tree canopy volume,Not specified,A Novel Technique Using Planar Area and Ground Shadows Calculated from UAV RGB Imagery to Estimate Pistachio Tree (Pistacia vera L.) Canopy Volume,Canopy and biomass estimation,Drone imagery
Not specified,UAS multispectral imagery,Forest health classification,Not specified,Monitoring Fine-Scale Forest Health Using Unmanned Aerial Systems (UAS) Multispectral Models,Habitat degradation and biodiversity monitoring,Drone imagery
Not specified,Airborne hyperspectral and airborne laser scanning data,Tree species classification,Not specified,Detecting European Aspen (Populus tremulaL.) in Boreal Forests Using Airborne Hyperspectral and Airborne Laser Scanning Data,Tree species classification,Satellite imagery or LiDAR
Not specified,Multispectral data,Tree species classification,"60.47202, 8.46894",Detection of European Aspen (Populus tremula L.) Based on an Unmanned Aerial Vehicle Approach in Boreal Forests,Tree species classification,Drone imagery
Amazon Basin,Synthetic Aperture Radar,Deforestation monitoring,"-3.4653, -62.2159",Potential of Convolutional Neural Networks for Forest Mapping Using Sentinel-1 Interferometric Short Time Series,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV images,Individual tree identification,Not specified,"Correction: Nguyen et al. Individual Sick Fir Tree (Abies mariesii) Identification in Insect Infested Forests by Means of UAV Images and Deep Learning. Remote Sens. 2021, 13, 260",Tree species classification,Drone imagery
Sweden,Tree-ring data,Predicting drought damage risk,"61.32469, 14.19849",Current and future drought vulnerability for three dominant boreal tree species,Tree species classification,Animal or plant data
Germany,Remote sensing data,Forest cover prediction,"51.1657, 10.4515",Predicting Forest Cover in Distinct Ecosystems: The Potential of Multi-Source Sentinel-1 and-2 Data Fusion,Forest cover assessment,Satellite imagery or LiDAR
"Southern Fujian Province, China",LiDAR and multispectral data,Estimating forest stand health,"25.40000, 117.00000",Forest stand spectrum reconstruction using spectrum spatial feature gathering and multilayer perceptron,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,LiDAR point clouds,3D reconstruction of forests,Not specified,Deep Convolutional Compressed Sensing-Based Adaptive 3D Reconstruction of Sparse LiDAR Data: A Case Study for Forests,Canopy and biomass estimation,Satellite imagery or LiDAR
California,Hyperspectral satellite imagery,Mapping forest alliances,"37.77493, -122.41942",Mapping of forest alliances with simulated multi-seasonal hyperspectral satellite imagery,Tree species classification,Satellite imagery or LiDAR
Not specified,Remote sensing data,Improving tree species classification,Not specified,Improving Rare Tree Species Classification Using Domain Knowledge,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite images,Forest change detection,Not specified,FCD-R2U-net: Forest change detection in bi-temporal satellite images using the recurrent residual-based U-net,Forest cover assessment,Satellite imagery
Canada,UAV multispectral imagery,Predicting canopy nitrogen weight,"42.973364, -81.253801","Using Linear Regression, Random Forests, and Support Vector Machine with Unmanned Aerial Vehicle Multispectral Images to Predict Canopy Nitrogen Weight in Corn",Canopy and biomass estimation,Drone imagery
Not specified,Urban point cloud,Instance recognition of street trees,Not specified,Instance recognition of street trees from urban point clouds using a three-stage neural network,Tree species classification,LiDAR
"Istanbul Province and Thrace Region, Turkiye",Earth observation data,Assessing forest fire susceptibility,"41.00824, 28.97836",Artificial neural networks for assessing forest fire susceptibility in Turkiye,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Northern Thailand,Remote sensing data,Assessing the effectiveness of protected areas in preventing forest loss,"19.15000, 99.50000",Effectiveness of protected areas in preventing forest loss in a tropical mountain region,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Drone optic and LiDAR data,Mapping tree species,Not specified,Mapping Tree Species Using CNN from Bi-Seasonal High-Resolution Drone Optic and LiDAR Data,Tree species classification,Drone imagery
Not specified,Remote sensing data,Maximizing restoration success for planted trees,Not specified,Precision restoration: a necessary approach to foster forest recovery in the 21st century,Forest cover assessment,Satellite imagery or LiDAR
China,Remote sensing data,Tree species identification,"23.37903, 113.76328",Multi-Feature-Based Identification of Subtropical Evergreen Tree Species Using Gaofen-2 Imagery and Algorithm Comparison,Tree species classification,Satellite imagery or LiDAR
"Can Gio Biosphere Reserve, Vietnam",Fused Sentinel-2 and ALOS-2 PALSAR-2 data,Estimating mangrove above-ground biomass,"10.5169, 106.8983","Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Predicting forest fire susceptibility,Not specified,"Assessing Chilgoza Pine ( Pinus gerardiana ) forest fire severity: Remote sensing analysis, correlations, and predictive modeling for enhanced management strategies",Forest fire monitoring and prevention,Satellite imagery or LiDAR
"Quebec, Canada",Aerial remote sensing data,Mapping tree species diversity,"52.9399, -73.5491",High-resolution mapping of tree species and associated uncertainty by combining aerial remote sensing data and convolutional neural networks ensemble,Tree species classification,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating biomass,"0, 0",A New Method for Generating a Global Forest Aboveground Biomass Map From Multiple High-Level Satellite Products and Ancillary Information,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV imagery,Automatically detect apple trees,Not specified,COMPUTER VISION SYSTEM FOR DETECTING ORCHARD TREES FROM UAV IMAGES,Tree species classification,Drone imagery
