Location,Data,Goal,Coordinates,Title,Category
Not specified,Unoccupied aerial systems imagery,Improving measurements of forest inventory plot centers,Not specified,Improving Deciduous Forest Inventory Plot Center Measurement Using Unoccupied Aerial Systems Imagery,Forest cover assessment
China,Multispectral satellite images,Woodland segmentation,"35.86166, 104.1954",Infrared Attention Network for Woodland Segmentation Using Multispectral Satellite Images,Forest cover assessment
Not specified,Hyperspectral images,Early detection of pine wilt disease,Not specified,Early detection of pine wilt disease tree candidates using time-series of spectral signatures,Tree species classification
Subtropical China,Tree ring data,Understanding tree growth response to ecological and hydroclimatic variability,"26.57834, 106.71191",Insights into the BRT (Boosted Regression Trees) Method in the Study of the Climate-Growth Relationship of Masson Pine in Subtropical China,Tree species classification
Not specified,Sentinel-2 imagery,Land cover classification,Not specified,Evaluation of the Potential of Convolutional Neural Networks and Random Forests for Multi-Class Segmentation of Sentinel-2 Imagery,Forest cover assessment
Not specified,Very high-resolution satellite images,Estimating forest canopy cover,"35.86166, 104.1954",Combining 3D Radiative Transfer Model and Convolutional Neural Network to Accurately Estimate Forest Canopy Cover From Very High-Resolution Satellite Images,Canopy and biomass estimation
Not specified,Lidar,Mapping aboveground biomass,"37.7749, -119.4179",Mapping individual tree and plot-level biomass using airborne and mobile lidar in pin?on-juniper woodlands,Canopy and biomass estimation
United States,Remote sensing data,Modeling land use change and carbon stock dynamics,"39.8283, -98.5795",Modeling land use change and forest carbon stock changes in temperate forests in the United States,Forest cover assessment
Not specified,Hyperspectral images,Classifying tree species,Not specified,Assessment of informative capability of spaced-based hyperspectral system in forest monitoring tasks,Tree species classification
"Eglin Air Force Base, Florida, USA",Low-density airborne LiDAR and Landsat data,"Predicting tree density, basal area, and dominant tree species","30.5752, -86.4956","Mapping Forest Structure and Composition from Low-Density LiDAR for Informed Forest, Fuel, and Fire Management at Eglin Air Force Base, Florida, USA",Tree species classification
Slovakia,Dendrometer data,Evaluating tree growth and water status,"48.5775, 19.1495",Effect of Provenance and Environmental Factors on Tree Growth and Tree Water Status of Norway Spruce,Tree species classification
China,Not specified,Assessing responses of spectral diversity to climate change,"35.86166, 104.1954",Climate change alters the spatial pattern of plant spectral diversity across forest types,Habitat degradation and biodiversity monitoring
"Helsinki, Finland",Multispectral UAV imagery,Mapping tree decline due to bark beetle infestation,"60.1695, 24.9354",Multispectral Imagery Provides Benefits for Mapping Spruce Tree Decline Due to Bark Beetle Infestation When Acquired Late in the Season,Tree species classification
Korea,Satellite images,Detecting forest disaster,"35.9078, 127.7669",Detection of forest disaster using satellite images with sematic segmentation,Forest fire monitoring and prevention
Not specified,Multi-spectral and hybrid polarimetric SAR images,Forest cover classification,Not specified,UNSUPERVISED CATEGORIZATION OF FOREST-COVER USING MULTI-SPECTRAL AND HYBRID POLARIMETRIC SAR IMAGES,Forest cover assessment
Canada,Sentinel-1 Synthetic Aperture Radar,Forest fire detection,"56.1304, -106.3468",Detection of Forest Fires through Deep Unsupervised Learning Modeling of Sentinel-1 Time Series,Forest fire monitoring and prevention
Southern Chile,Remote sensing data,Estimating forest attributes,"-39.61403, -73.14452",How Much Can We See from a UAV-Mounted Regular Camera? Remote Sensing-Based Estimation of Forest Attributes in South American Native Forests,Canopy and biomass estimation
"Jiangxi Province, China",Remote sensing imagery,Mapping forest canopy height,"29.081999, 115.832619","Mapping the Forest Height by Fusion of ICESat-2 and Multi-Source Remote Sensing Imagery and Topographic Information: A Case Study in Jiangxi Province, China",Canopy and biomass estimation
Yakutia,Remote sensing data,Studying forest fire seasonal dynamics,"62.000000, 142.000000",Study of forest fires seasonal dynamics in Yakutia on remote sensing data,Forest fire monitoring and prevention
Southeastern Brazil,Multispectral satellite images,Classifying tree cover classes,"-22.90833, -43.19639",Forest landscape restoration: Spectral behavior and diversity of tropical tree cover classes,Tree species classification
Colorado,GIS and machine learning,Restoring forest resilience to fire,"37.95372, -106.05239","Restoration of forest resilience to fire from old trees is possible across a large Colorado dry-forest landscape by 2060, but only under the Paris 1.5°C goal",Forest fire monitoring and prevention
China,High-resolution satellite data,Forest status assessment,"35.86166, 104.1954",Forest status assessment in China with SDG indicators based on high-resolution satellite data,Forest cover assessment
Southern Sierras,Tower observed meteorological and carbon flux data,Predicting forest productivity collapse,"36.5000, -119.5000",Forest productivity recovery or collapse? Model-data integration insights on drought-induced tipping points,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Detecting tree ring boundaries,Not specified,Method for detecting tree ring boundary in conifers and broadleaf trees using Mask R-CNN and linear interpolation,Tree species classification
Not specified,"Aerial images, Remote sensing data",Understanding forest cover change dynamics,"-20.3933, -40.5475",Edges as hotspots and drivers of forest cover change in a tropical landscape,Forest cover assessment
Not specified,UAV multispectral images,Detecting severity of powdery mildew in rubber trees,Not specified,Monitoring the Severity of Rubber Tree Infected with Powdery Mildew Based on UAV Multispectral Remote Sensing,Habitat degradation and biodiversity monitoring
Not specified,Airborne laser scanning,Mapping fallen trees,Not specified,Evaluating Factors Impacting Fallen Tree Detection from Airborne Laser Scanning Point Clouds,Forest cover assessment
Australia,Airborne LiDAR data,Mapping tree density,"-36.5000, 146.0000",Leveraging Airborne LiDAR Data and Gradient Boosting for Mapping the Density of Different Sized Trees,Tree species classification
Not specified,Images collected from different cameras,3D tree modeling,Not specified,Evaluating the Point Cloud of Individual Trees Generated from Images Based on Neural Radiance Fields (NeRF) Method,Tree species classification
Southwest China,Seismic data,Predicting total organic carbon (TOC),"28.2274, 102.8329",A data-driven method for total organic carbon prediction based on random forests,Canopy and biomass estimation
"Braila, Romania",Satellite images,Land cover mapping,"45.3167, 27.9639",Comparison of Support Vector Machines and Random Forests for Corine Land Cover Mapping,Forest cover assessment
"Middle Volga Region, Russia",Satellite imagery,Monitoring forest burnt area,"55.0000, 48.0000",Temporal and Spatial Analyses of Forest Burnt Area in the Middle Volga Region Based on Satellite Imagery and Climatic Factors,Forest fire monitoring and prevention
Not specified,Hyperspectral and PolSAR data,Remote sensing image classification,Not specified,HOLP-DF: HOLP Based Screening Ultrahigh Dimensional Subfeatures in Deep Forest for Remote Sensing Image Classification,Tree species classification
Belitung Archipelago,Remote sensing data,Identifying changes in mangrove forests,"-2.6334, 108.5069",Analysis of Mangrove Forest Change from Multi-Temporal Landsat Imagery Using Google Earth Engine Application (Case Study: Belitung Archipelago 1990-2020),Forest cover assessment
Not specified,Foliar spectral information,Assigning trees to genetically differentiated subpopulations,Not specified,A Neural Network-Based Spectral Approach for the Assignment of Individual Trees to Genetically Differentiated Subpopulations,Tree species classification
Brazilian Atlantic Forest,Hyperspectral and multispectral data,Mapping tree species,"-22.90456, -43.34507",Mapping tree species in tropical seasonal semi-deciduous forests with hyperspectral and multispectral data,Tree species classification
Not specified,Not specified,Forest fire detection,Not specified,FireYOLO-Lite: Lightweight Forest Fire Detection Network with Wide-Field Multi-Scale Attention Mechanism,Forest fire monitoring and prevention
Chernobyl Exclusion Zone,Satellite data,Predicting basal area and growing stock volume,"51.38711, 30.09954",Natural forest regeneration in Chernobyl Exclusion Zone: predictive mapping and model diagnostics,Canopy and biomass estimation
Mozambique,Sentinel-2 data,Wildfire detection,"-18.66569, 35.52956",High-Resolution Semantic Segmentation of Woodland Fires Using Residual Attention UNet and Time Series of Sentinel-2,Forest fire monitoring and prevention
Not specified,Sentinel-2 images,Estimating forest canopy closure,Not specified,Multi-Model Estimation of Forest Canopy Closure by Using Red Edge Bands Based on Sentinel-2 Images,Canopy and biomass estimation
Not specified,UAV-derived imagery and lidar data,Individual tree detection,Not specified,Individual tree detection using UAV-lidar and UAV-SfM data: A tutorial for beginners,Tree species classification
Northeast USA,Landsat satellite imagery,Predicting future forest composition,"44.65873, -69.57753",Projecting complex interactions between forest harvest and succession in the northern Acadian Forest Region,Forest cover assessment
Not specified,Not specified,Assessing climate-growth relationships in cork oaks,Not specified,Climate effects on stem radial growth of Quercus suber L.: does tree size matter?,Tree species classification
Not specified,Remote sensing data,Quantification and automated monitoring of forest fires,Not specified,Forest Functioning under Climate Warming and Future Perspectives on Forest Disturbances,Forest fire monitoring and prevention
"New York State, USA",Remote sensing data,Estimating aboveground biomass,"43.299428, -74.217933","State-wide forest canopy height and aboveground biomass map for New York with 10 m resolution, integrating GEDI, Sentinel-1, and Sentinel-2 data",Canopy and biomass estimation
"Fuzhou City, China",Point cloud data,Tree species classification,"26.07451, 119.29683",Classification of Tree Species Based on Point Cloud Projection Images with Depth Information,Tree species classification
Not specified,Comprehensive deadwood dataset,Forecasting changes in deadwood volumes,Not specified,Modelling the effects of climate and management on the distribution of deadwood in European forests,Habitat degradation and biodiversity monitoring
Not specified,DNA meta-barcoding,Assessing risk of herbivory,Not specified,Feeding habits of the exotic invasive slug Limax maximus: a basis for risk assessment of herbivory on forest and agricultural ecosystems,Habitat degradation and biodiversity monitoring
Europe,In situ temperature data,Mapping forest microclimate,"50.85045, 4.35171",ForestTemp - Sub-canopy microclimate temperatures of European forests,Canopy and biomass estimation
Brazil,Remote sensing data,Modeling forest fragmentation,"-8.7759, -63.8779",A landscape ecology approach: Modeling forest fragmentation with artificial neural networks and cellular-automata Markov-chain for improved environmental policy in the southwestern Brazilian Amazon,Habitat degradation and biodiversity monitoring
Not specified,Satellite images,Forest cover change detection,Not specified,Siamese Detail Difference and Self-Inverse Network for Forest Cover Change Extraction Based on Landsat 8 OLI Satellite Images,Forest cover assessment
Not specified,Not specified,Evaluating nutrient export and technological implications of ashes in energy forests,"-3.46533, -62.21588",The Inorganic Composition of Tachigali vulgaris Wood: Implications for Bioenergy and Nutrient Balances of Planted Forests in the Amazonia,Other
Not specified,Remote sensing data,Optimizing forest productivity,"30.26715, -97.74306",Forest soil classification for intensive pine plantation management: Site Productivity Optimization for Trees system,Other
Not specified,Remote sensing data,Forest stand classification,Not specified,Object-Oriented Convolutional Neural Network for Forest Stand Classification Based on Multi-Source Data Collaboration,Tree species classification
Not specified,UAV multispectral remote sensing,Monitoring pest damage in Moso bamboo forests,Not specified,Monitoring the Severity of Pantana phyllostachysae Chao Infestation in Moso Bamboo Forests Based on UAV Multi-Spectral Remote Sensing Feature Selection,Habitat degradation and biodiversity monitoring
"Gia Lai, Vietnam",GIS data,Modeling forest fire danger,"13.99914, 108.66053",A Hybrid Intelligence System Based on Relevance Vector Machines and Imperialist Competitive Optimization for Modelling Forest Fire Danger Using GIS,Forest fire monitoring and prevention
"Gongju, South Korea",UAV and LiDAR data,Vegetation conservation classification,"36.42820, 127.12242",Developing UAV-Based Forest Spatial Information and Evaluation Technology for Efficient Forest Management,Forest cover assessment
Southwestern China,Airborne thermal imagery and LiDAR,Monitoring pest infestation,"27.00000, 102.00000",Individual Tree-Level Monitoring of Pest Infestation Combining Airborne Thermal Imagery and Light Detection and Ranging,Habitat degradation and biodiversity monitoring
"Bavarian Forest National Park, Germany",Airborne hyperspectral data,Estimating leaf area index,"49.0255, 13.4258",Mapping leaf area index in a mixed temperate forest using Fenix airborne hyperspectral data and Gaussian processes regression,Canopy and biomass estimation
Poland,Forest inventory data,Estimating biomass increment,"49.2987, 19.9719",Drivers of forest aboveground biomass and its increments in the Tatra Mountains after 15 years,Canopy and biomass estimation
"Gaofeng State-owned Forest Farm, Guangxi Province",Hyperspectral imaging,Tree species classification,"23.10934, 109.49718",Dual-Concentrated Network With Morphological Features for Tree Species Classification Using Hyperspectral Image,Tree species classification
Not specified,Sentinel-1 SAR,Monitoring global forest land use change,"0.0, 0.0",LUCA: A Sentinel-1 SAR-Based Global Forest Land Use Change Alert,Forest cover assessment
Not specified,Remote sensing data,Crown asymmetry evaluation,Not specified,Comparative performances of new and existing indices of crown asymmetry: an evaluation using tall trees ofEucalyptus pilularis(Smith),Canopy and biomass estimation
Tanzania,Sentinel-1 data,Estimating aboveground biomass,"-6.369028, 34.888822",On the Potential of Sequential and Nonsequential Regression Models for Sentinel-1-Based Biomass Prediction in Tanzanian Miombo Forests,Canopy and biomass estimation
Southwest China,UAV imagery,Identifying Pitaya trees,"25.00000, 104.00000",Construction of a small sample dataset and identification of Pitaya trees (Selenicereus) based on UAV image on close-range acquisition,Tree species classification
China,Optical and microwave remote sensing data,Analyzing correlation between optical and microwave signals in forest areas,"37.43157, 102.11949",CORRELATION AND INTRINSIC MECHANISMS OF OPTICAL AND MICROWAVE REMOTE SENSING SIGNALS IN TYPICAL FOREST AREAS IN CHINA,Canopy and biomass estimation
Not specified,Dual-polarization SAR images,Mapping growing stem volume,"35.86166, 104.1954",Mapping Growing Stem Volume Using Dual-Polarization GaoFen-3 SAR Images in Evergreen Coniferous Forests,Canopy and biomass estimation
Louisiana,NAIP,Mapping forest loss,"30.9843, -91.9623",Loss of Relict Oak Forests along Coastal Louisiana: A Multiyear Analysis Using Google Earth Engine,Forest cover assessment
Colombia,Remote sensing data,Forest/nonforest segmentation,"7.1853, -74.2360",Forest/Nonforest Segmentation Using Sentinel-1 and-2 Data Fusion in the Bajo Cauca Subregion in Colombia,Forest cover assessment
Not specified,Not specified,In vitro propagation of peatland tree species,"-0.7893, 113.9213",In Vitro Multiplication of Lophostemon suaveolens (Sol.ex Gaertn.) Peter G.Wilson & JT Waterh): Peatland Tree Species for Rehabilitation,Tree species classification
South Korea,Remote sensing data,Predicting forest fire probability,"35.90785, 127.76692",Multi-Temporal Analysis of Forest Fire Probability Using Socio-Economic and Environmental Variables,Forest fire monitoring and prevention
Germany,Terrestrial LiDAR,Discrimination of foliar and woody materials,"49.0458, 12.7038",Foliar and woody materials discriminated using terrestrial LiDAR in a mixed natural forest,Canopy and biomass estimation
Not specified,Bark images,Tree species identification,Not specified,Improvement and Assessment of Convolutional Neural Network for Tree Species Identification Based on Bark Characteristics,Tree species classification
Costa Rica,Multi-spectral images,Monitoring and quantifying tree mortality and liana infestation,"9.9281, -84.0907",On the estimation of tree mortality and liana infestation using a deep self-encoding network,Habitat degradation and biodiversity monitoring
Germany,Satellite imagery,Tree species mapping,"51.1657, 10.4515",National tree species mapping using Sentinel-1/2 time series and German National Forest Inventory data,Tree species classification
Not specified,Not specified,Detecting forest fire and smoke,Not specified,Application of the YOLOv6 Combining CBAM and CIoU in Forest Fire and Smoke Detection,Forest fire monitoring and prevention
Brazil,Optical satellite imagery,Monitoring deforestation and forest degradation,"-10.0000, -63.0000",Monitoring Vegetation Change in the Presence of High Cloud Cover with Sentinel-2 in a Lowland Tropical Forest Region in Brazil,Habitat degradation and biodiversity monitoring
Northern Greece,Sentinel-2 and RapidEye imagery,Estimating and mapping species diversity,"40.46129, 21.40694",Forest diversity estimation using Sentinel-2 and RapidEye imagery: A case study of the Northern Pindos National Park,Tree species classification
Not specified,Terrestrial and airborne laser scanning data,Estimating tree attributes,Not specified,Supervised terrestrial to airborne laser scanner model calibration for 3D individual-tree attribute mapping using deep neural networks,Tree species classification
Hawai'i,Remote sensing data,Mapping canopy foliar nitrogen and aboveground carbon density,"21.30694, -157.85767",Biotic and Abiotic Controls Over Canopy Function and Structure in Humid Hawaiian Forests,Canopy and biomass estimation
"Oregon, USA",Sentinel 2 remotely sensed imagery,Wildfire risk mitigation,"43.804133, -120.554201",21st Century Planning Techniques for Creating Fire-Resilient Forests in the American West,Forest fire monitoring and prevention
Not specified,"Thermal drone data, RGB drone data",Forest health monitoring,Not specified,Orthomosaicking Thermal Drone Images of Forests via Simultaneously Acquired RGB Images,Canopy and biomass estimation
Indonesia,Remote sensing data,Visibility estimation,"0.7893, 113.9213","Back-propagation in the neural network of visibility estimation model based on Himawari_8 Satellite during forest fire smoke periods on Sumatera and Borneo Island, Indonesia",Forest fire monitoring and prevention
Southern China,Landsat time series images,Establishing forest resilience indicators,"26.88445, 113.22419",Establishing forest resilience indicators in the hilly red soil region of southern China from vegetation greenness and landscape metrics using dense Landsat time series,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Determining effects of glyphosate on native plant species,"-24.396308, -60.716644",Effects of the herbicide glyphosate on non-target plant native species from Chaco forest (Argentina),Habitat degradation and biodiversity monitoring
Not specified,Forest inventory data,Quantifying distribution of tree leaf types,"0, 0",The global biogeography of tree leaf form and habit,Tree species classification
Not specified,Remote sensing data,Estimating gross primary productivity,"50.85034, 4.35171",Environmental Drivers of Gross Primary Productivity and Light Use Efficiency of a Temperate Spruce Forest,Canopy and biomass estimation
Kenya,Landsat 8,Mapping mangrove forest,"1.286389, 36.821946",Mapping mangrove forest using Landsat 8 to support estimation of land-based emissions in Kenya,Forest cover assessment
Southern China,"Aerial images, LiDAR data, Worldview images",Tree species classification,"23.12911, 113.264385",Characterizing Tree Species of a Tropical Wetland in Southern China at the Individual Tree Level Based on Convolutional Neural Network,Tree species classification
Tatra Mountains,Remote sensing data,Tree species classification,"49.2498, 20.2825","Mountain Tree Species Mapping Using Sentinel-2, PlanetScope, and Airborne HySpex Hyperspectral Imagery",Tree species classification
Iran,Ecological niche modeling,Assessing habitat suitability for oak species,"32.00000, 50.00000",Interspecific niche overlap and climatic associations of native Quercus species in the Zagros forests of Iran,Habitat degradation and biodiversity monitoring
Not specified,Airborne LiDAR data,Estimating crown biomass,Not specified,Estimating Crown Biomass in a Multilayered Fir Forest Using Airborne LiDAR Data,Canopy and biomass estimation
Northern China,Remote sensing data,Estimating aboveground biomass,"50.59448, 124.26531",Estimating Aboveground Biomass of Boreal Forests in Northern China Using Multiple Datasets,Canopy and biomass estimation
"Mato Grosso, Brazil",Optical satellite imagery,Mapping disturbed forests,"-12.20199, -55.95087",Mapping tropical disturbed forests using multi-decadal 30 m optical satellite imagery,Forest cover assessment
Not specified,Remote sensing data,Single tree detection,Not specified,Single Shot MultiBox Detector for Urban Plantation Single Tree Detection and Location With High-Resolution Remote Sensing Imagery,Tree species classification
Southern Brazil,Sentinel-2 and Landsat-8 data,Discriminating different successional forest stages,"-29.0000, -51.0000",Evaluating Sentinel-2 and Landsat-8 Data to Map Sucessional Forest Stages in a Subtropical Forest in Southern Brazil,Forest cover assessment
Not specified,Remote sensing data,Automatic classification of marked trees,Not specified,Automatic detection of color markings and numbers on trees in point clouds from Personal Laser Scanning (PLS) and Terrestrial Laser Scanning (TLS),Tree species classification
Maryland,Satellite imagery and LiDAR data,Estimating aboveground biomass,"39.045754, -76.641273",Estimation of Forest Canopy Height and Aboveground Biomass from Spaceborne LiDAR and Landsat Imageries in Maryland,Canopy and biomass estimation
"Marseille, France",Pleiades images,Tree species classification,"43.2965, 5.3698",Kill Two Birds with One Stone: Urban Tree Species Classification Using Bi-Temporal Pleiades Images to Study Nesting Preferences of an Invasive Bird,Tree species classification
Not specified,Tree-ring data,Investigating the response of tree types to climate change,Not specified,Differences in responses of tree-ring δ13C in angiosperms and gymnosperms to climate change on a global scale,Tree species classification
Northern Cote d'Ivoire,Image analysis,Understanding variability in mango tree production,"9.42923, -5.12816",Variability of mango tree production ('Kent') in northern Cote d'Ivoire,Tree species classification
Not specified,High-resolution remote sensing images,Tree crown detection,Not specified,Domain adaptive tree crown detection using high-resolution remote sensing images,Tree species classification
Not specified,Airborne laser scanning,Identifying segmentation errors in tree detection,Not specified,Recognition of specified errors of Individual Tree Detection methods based on Canopy Height Model,Canopy and biomass estimation
Bangladesh,Satellite imagery,Modelling changes in forest cover,"24.2500, 91.7500",MODELLING SPATIO-TEMPORAL CHANGES OF TROPICAL FOREST COVER IN THE NORTH-EASTERN REGION OF BANGLADESH: CONTEXT OF TRADITIONAL AND CO-MANAGEMENT PARADIGMS,Forest cover assessment
Not specified,Image data,Tree crown extraction,Not specified,Cherry Tree Crown Extraction from Natural Orchard Images with Complex Backgrounds,Tree species classification
"Jalisco, Mexico",UAV multispectral imagery,Mapping canopy fuel loads,"20.65524, -103.31263","Forest Canopy Fuel Loads Mapping Using Unmanned Aerial Vehicle High-Resolution Red, Green, Blue and Multispectral Imagery",Canopy and biomass estimation
Tanzania,Landsat-8,Forest monitoring,"-6.369028, 34.888822",A Forest Monitoring System for Tanzania,Forest cover assessment
"Champaign, Illinois",Multi-scale satellite time series,Monitoring spring leaf phenology,"40.11642, -88.24338",Monitoring spring leaf phenology of individual trees in a temperate forest fragment with multi-scale satellite time series,Tree species classification
Western Poland,Not specified,Assessing the survival rate of invasive tree species seedlings,"51.9194, 19.1451","Seedling survival of Prunus serotina Ehrh., Quercus rubra L. and Robinia pseudoacacia L. in temperate forests of Western Poland",Habitat degradation and biodiversity monitoring
"Maine, USA",Satellite remote sensing data,Mapping susceptibility to spruce budworm defoliation,"45.87724, -69.06778","Multi-Source Mapping of Forest Susceptibility to Spruce Budworm Defoliation Based on Stand Age and Composition across a Complex Landscape in Maine, USA",Habitat degradation and biodiversity monitoring
Australia,Airborne laser scanning and imaging spectroscopy,Classifying individual tree health,"-25.274398, 133.775136",Mapping individual tree health using full-waveform airborne laser scans and imaging spectroscopy: A case study for a floodplain eucalypt forest,Tree species classification
Nepal,Sentinel-2 data,Estimating above-ground biomass,"27.0, 84.0","Estimating Above-Ground Biomass in Sub-Tropical Buffer Zone Community Forests, Nepal, Using Sentinel 2 Data",Canopy and biomass estimation
Not specified,Remote sensing data,Tree species classification,Not specified,Learning CNN Filters From User-Drawn Image Markers for Coconut-Tree Image Classification,Tree species classification
Not specified,Empirical disturbance data,Monitoring forest disturbances,"48.8566, 2.3522",Significant increase in natural disturbance impacts on European forests since 1950,Habitat degradation and biodiversity monitoring
Germany,Remote sensing data,Monitoring forest conditions,"51.1657, 10.4515","Forest Structure Characterization in Germany: Novel Products and Analysis Based on GEDI, Sentinel-1 and Sentinel-2 Data",Canopy and biomass estimation
Not specified,UAS-based photogrammetry,Assessing crown fire potential,Not specified,TREE-LEVEL FUEL CONNECTIVITY TO ASSESS CROWN WILDFIRE POTENTIAL BY UAS-BASED PHOTOGRAMMETRY,Forest fire monitoring and prevention
China,Remote sensing data,Monitoring land-use and land-cover changes,"27.82601, 108.40133",Monitoring land-cover and land-use dynamics in Fanjingshan National Nature Reserve,Forest cover assessment
"Quebec, Canada",Machine learning data,Predicting population connectivity of spruce budworm,"46.81387, -71.20798",Quantifying and predicting population connectivity of an outbreaking forest insect pest,Habitat degradation and biodiversity monitoring
Switzerland,National Forest Inventory data,Quantifying dead wood decay rates,"46.81819, 8.22751",Dynamics of dead wood decay in Swiss forests,Habitat degradation and biodiversity monitoring
Iran,Sentinel-2 data,Estimating aboveground biomass,"36.5963, 54.1945",Estimating Aboveground Biomass in Dense Hyrcanian Forests by the Use of Sentinel-2 Data,Canopy and biomass estimation
Bialowieza Forest,Not specified,Monitoring biodiversity and habitat quality,"52.70177, 23.83689",Profile of tree-related microhabitats in the primeval Bialowieza Forest: A benchmark for temperate woodlands,Habitat degradation and biodiversity monitoring
China,Sentinel-2 images,Mapping urban forests,"35.86166, 104.1954",Understanding the Spatial Distribution of Urban Forests in China Using Sentinel-2 Images with Google Earth Engine,Forest cover assessment
Mexico,Remote sensing data,Analyzing tropical dry forest dynamics,"23.6345, -102.5528",Tropical Dry Forest Dynamics Explained by Topographic and Anthropogenic Factors: A Case Study in Mexico,Forest cover assessment
Brazil,Regression analysis,Estimating biomass and energy stock,"-30.01756, -51.22951",Preussner equations to estimate the volume of black wattle trees and energy stock for the stump and tips components,Canopy and biomass estimation
Not specified,Point cloud data,Leaf-wood separation,Not specified,LWSNet: A Point-Based Segmentation Network for Leaf-Wood Separation of Individual Trees,Tree species classification
"Michigan, Oregon, West Virginia",Landsat multispectral time series,Estimating forest community types and aboveground live biomass,"39.04575, -77.05872",Comparing harmonic regression and GLAD Phenology metrics for estimation of forest community types and aboveground live biomass within forest inventory and analysis plots,Canopy and biomass estimation
Not specified,Not specified,Forest fire detection,Not specified,MTL-FFDET: A Multi-Task Learning-Based Model for Forest Fire Detection,Forest fire monitoring and prevention
Brazil,Remote sensing images,Land-cover classification,"-14.2350, -51.9253",Pruning optimum-path forest ensembles using metaheuristic optimization for land-cover classification,Forest cover assessment
South Africa,Remote sensing data,Improving functional connectivity for biodiversity conservation,"-30.5595, 22.9376",Maintaining functional connectivity in grassland corridors between plantation forests promotes high-quality habitat and conserves range restricted grasshoppers,Habitat degradation and biodiversity monitoring
Not specified,X-ray CT data,Tree ring analysis,Not specified,Advanced X-ray CT scanning can boost tree ring research for earth system sciences,Tree species classification
Mexico,Remote sensing data,Estimating vegetation height,"21.1619, -89.1519",Potential of Multi-Temporal ALOS-2 PALSAR-2 ScanSAR Data for Vegetation Height Estimation in Tropical Forests of Mexico,Canopy and biomass estimation
Slovenia,Not specified,Modeling forest development,"46.15124, 14.99546",ANALYSIS OF SELECTED SINGLE-TREE GROWTH MODELS SUITABLE FOR LARGE-SCALE MODELLING AND THEIR POTENTIAL USE IN SLOVENIA,Canopy and biomass estimation
Kahramanmaras,Not specified,Assessing nutritional value of tree leaves,"37.57339, 37.17619",Investigation of Potential Nutritive Values of Some Tree Leaves and Its Extracts by Using In Vitro Gas Production,Other
China,Remote sensing observations,Quantifying changes in forest biomass carbon stocks,"35.86166, 104.1954",Maps with 1 km resolution reveal increases in above- and belowground forest biomass carbon pools in China over the past 20 years,Canopy and biomass estimation
Spain,National forest inventory data,Estimating tree height,"40.4637, -3.7492",Species Mixing Proportion and Aridity Influence in the Height-Diameter Relationship for Different Species Mixtures in Mediterranean Forests,Tree species classification
Not specified,Remote sensing data,Detecting occluded and dense urban trees,Not specified,Detecting Occluded and Dense Trees in Urban Terrestrial Views With a High-Quality Tree Detection Dataset,Tree species classification
Not specified,Not specified,Predicting spring phenology of temperate fruit trees,Not specified,PhenoFlex - an integrated model to predict spring phenology in temperate fruit trees,Tree species classification
Not specified,Very-high-resolution satellite images,Oil palm tree detection,Not specified,Multisource-Domain Generalization-Based Oil Palm Tree Detection Using Very-High-Resolution (VHR) Satellite Images,Tree species classification
Not specified,Lidar data,Evaluating lidar simulator performance,Not specified,Validation of the DART Model for Airborne Laser Scanner Simulations on Complex Forest Environments,Canopy and biomass estimation
"Southeast Queensland, Australia",Underwater camera data,Evaluating fish use of mangroves in restoration,"-27.4698, 153.0251",Fish use of restored mangroves matches that in natural mangroves regardless of forest age,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring biodiversity and habitat quality,Not specified,How Do Taxonomic and Functional Diversity Metrics Change Along an Aridity Gradient in a Tropical Dry Forest?,Habitat degradation and biodiversity monitoring
USA,Airborne lidar data,High-resolution forest aboveground biomass mapping,"37.09024, -95.71289","High-resolution forest carbon mapping for climate mitigation baselines over the RGGI region, USA",Canopy and biomass estimation
Not specified,Remote sensing data,Forest fire detection,Not specified,A Small Target Forest Fire Detection Model Based on YOLOv5 Improvement,Forest fire monitoring and prevention
Not specified,Sentinel-2 imagery,Forest stand delineation,Not specified,Forest stand segmentation with multi-temporal Sentinel-2 imagery and superpixels,Forest cover assessment
Czech Republic,Airborne imaging spectroscopy,Estimating forest biochemical properties,"49.2085, 16.3725",EVALUATION OF VARIOUS SPECTRAL INPUTS FOR ESTIMATION OF FOREST BIOCHEMICAL AND STRUCTURAL PROPERTIES FROM AIRBORNE IMAGING SPECTROSCOPY DATA,Canopy and biomass estimation
Not specified,Dual polarization SAR images,Mapping forest stock volume,Not specified,Interpreting the Response of Forest Stock Volume with Dual Polarization SAR Images in Boreal Coniferous Planted Forest in the Non-Growing Season,Canopy and biomass estimation
Sweden,ALS data,Tree species classification,"61. Scandinavia, 18.63492",COMPARISON OF SINGLE TREE SPECIES CLASSIFICATION USING VERY DENSE ALS DATA OR DUAL-WAVE ALS DATA,Tree species classification
Portugal,Bioclimatic and physiographic data,Assessing future habitat suitability,"39.399872, -8.224454",Future habitat suitability for species under climate change - Lessons learned from the strawberry tree case study,Habitat degradation and biodiversity monitoring
Not specified,UAV remote sensing images,Identifying pine tree disease,Not specified,Clusterformer for Pine Tree Disease Identification Based on UAV Remote Sensing Image Segmentation,Tree species classification
